item_id,release_date,item_desc,item_name,availability
0,2001,"In a small town in Canada, Clara Callan reluctantly takes leave of her sister, Nora, who is bound for New York. It's a time when the growing threat of fascism in Europe is a constant worry, and people escape from reality through radio and the movies. Meanwhile, the two sisters -- vastly different in personality, yet inextricably linked by a shared past -- try to find their places within the complex web of social expectations for young women in the 1930s. While Nora embarks on a glamorous career as a radio-soap opera star, Clara, a strong and independent-minded woman, struggles to observe the traditional boundaries of a small and tight-knit community without relinquishing her dreams of love, freedom, and adventure. However, things aren't as simple as they appear -- Nora's letters eventually reveal life in the big city is less exotic than it seems, and the tranquil solitude of Clara's life is shattered by a series of unforeseeable events. These twists of fate require all of Clara's courage and strength, and finally put the seemingly unbreakable bond between the sisters to the test.",Clara Callan,1
1,1999,"Describes the great flu epidemic of 1918, an outbreak that killed some forty million people worldwide, and discusses the efforts of scientists and public health officials to understand and prevent another lethal pandemic",Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,1
2,1991,"A Chinese immigrant who is convinced she is dying threatens to celebrate the Chinese New Year by unburdening herself of everybody's hidden truths, thus prompting a series of comic misunderstandings",The Kitchen God's Wife,1
3,1999,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament",The Testament,1
4,1994,"Staring unflinchingly into the abyss of slavery, this novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. Sethe, its protagonist, was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. And Sethe's new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.",Beloved (Plume Contemporary Fiction),1
5,1999,"The staff of The Onion presents a satirical collection of mock headlines and news stories, including an account of the Pentagon's development of an A-bomb-resistant desk for schoolchildren",Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,1
6,2001,"In New Vegetarian Celia Brooks Brown presents an innovative approach to vegetarian cooking. There's practical advice on how to choose and prepare the major vegetarian ingredients, followed by 50 original, stylish recipes, all photographed by Philip Webb.",New Vegetarian: Bold and Beautiful Recipes for Every Occasion,1
7,2004,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.",Wild Animus,1
8,1997,"A fatal mid-air collision involving a commercial airliner prompts a frantic, desperate investigation into the causes of the accident, in a thriller exploring the issue of safety and security in the aircraft industry",Airframe,1
9,2000,"Using a quantum time machine, a group of young historians is sent back to the year 1357 to rescue their trapped project leader.",Timeline,1
10,2003,"Five American expatriates living in Budapest in the early 1990s seek to establish themselves and make their fortunes in a city still haunted by the tragedies of its Communist past. A first novel. Reader's Guide included. Reprint. 100,000 first printing.",Prague : A Novel,1
11,2000,"Sister John of the Cross, an elderly nun, experiences a series of dazzling visions, but she is confronted with a difficult choice between her spiritual gifts and curing the powerful headaches that accompany her visions.",Lying Awake,1
